4 40 792 -0.0159912044112 ('ExtensionCrashRecoveryTest.TwoExtensionsCrashFirst', 'TabDragging/DetachToBrowserTabDragControllerTest.DragToSeparateWindow/0')
3 33 334 0.00700616409306 ('ExtensionCrashRecoveryTest.TwoExtensionsShutdownWhileCrashed', 'PlatformNotificationServiceBrowserTest.UserClosesPersistentNotification')
1 40 719 -0.0319953933772 ('BrowserFocusTest.FocusOnNavigate', 'WidgetTestInteractive.RestoreAfterMinimize')
12 492 97 0.0101132342388 ('BrowserFocusTest.BackgroundBrowserDontStealFocus', 'ExtensionCrashRecoveryTest.ReloadIndependentlyChangeTabs')
1 3 719 0.0128754927444 ('BrowserActionInteractiveTest.TestOpenPopupIncognitoFromBackground', 'WidgetTestInteractive.RestoreAfterMinimize')
1 2 8 0.249427370625 ('SitePerProcessInteractiveBrowserTest.FullscreenElementInABAAndExitViaEscapeKey', 'SitePerProcessInteractiveBrowserTest.SequentialFocusNavigation')
1 50 52 0.00910067955882 ('ExtensionCrashRecoveryTest.CrashAndUnloadAll', 'ExtensionCrashRecoveryTest.TwoExtensionsCrashBothAtOnce')
1 50 42 0.0124073941893 ('ExtensionCrashRecoveryTest.CrashAndUnloadAll', 'ExtensionCrashRecoveryTest.TwoExtensionsReloadIndependently')
1 45 194 -0.00895828269822 ('ExtensionCrashRecoveryTest.ReloadIndependently', 'MouseLeaveTest.ModalDialog')
1 3 40 0.0894087977623 ('BrowserFocusTest.ClickingMovesFocus', 'BrowserFocusTest.FocusOnNavigate')
4 334 129 -0.0251267539995 ('PlatformNotificationServiceBrowserTest.UserClosesPersistentNotification', 'WebViewInteractiveTests/WebViewInteractiveTest.TextSelection/0')
1 41 52 0.0121696449132 ('ExtensionCrashRecoveryTest.ReloadTabsWithBackgroundPage', 'ExtensionCrashRecoveryTest.TwoExtensionsCrashBothAtOnce')
3 32 719 -0.0128132676211 ('BrowserCommandControllerInteractiveTest.ShortcutsShouldTakeEffectInBrowserFullscreen', 'WidgetTestInteractive.RestoreAfterMinimize')
2 109 2 0.133940389977 ('LocalNTPUITest.FakeboxRedirectsToOmnibox', 'TouchEventsRecursiveViewTest.CheckWindowsRecursiveHandler')
1 3 596 0.0158739583224 ('BrowserKeyEventsTest.EditorKeyBindings', 'PasswordGenerationInteractiveTest.AutoSavingGeneratedPassword')
1 596 28 -0.0205016924536 ('PasswordGenerationInteractiveTest.AutoSavingGeneratedPassword', 'X11TopmostWindowFinderTest.NonRectangularNullShape')
2 87 25 0.0335744682334 ('AppListTest.PressAppListButtonToShowAndDismiss', 'BookmarkBarViewTest10.KeyEvents')
5 6 39 0.325202068466 ('BrowserFocusTest.FindFocusTest', 'MenuControllerMnemonicTestMnemonicMatch.MnemonicMatch')
3 492 24 0.00529310667941 ('BrowserFocusTest.BackgroundBrowserDontStealFocus', 'ExtensionCrashRecoveryTest.ShutdownWhileCrashed')
1 596 32 -0.0230353252282 ('PasswordGenerationInteractiveTest.AutoSavingGeneratedPassword', 'WebViewInteractiveTests/WebViewFocusInteractiveTest.FocusAndVisibility/1')
10 596 719 -0.140076897823 ('PasswordGenerationInteractiveTest.AutoSavingGeneratedPassword', 'WidgetTestInteractive.RestoreAfterMinimize')
8 492 42 0.0272957933027 ('BrowserFocusTest.BackgroundBrowserDontStealFocus', 'ExtensionCrashRecoveryTest.TwoExtensionsReloadIndependently')
1 38 596 -0.0264544040913 ('BrowserCommandControllerInteractiveTest.ShortcutsShouldTakeEffectInJsFullscreen', 'PasswordGenerationInteractiveTest.AutoSavingGeneratedPassword')
5 37 719 -0.00356545598147 ('ExtensionCrashRecoveryTest.Basic', 'WidgetTestInteractive.RestoreAfterMinimize')
7 52 792 -0.00849769146423 ('ExtensionCrashRecoveryTest.TwoExtensionsCrashBothAtOnce', 'TabDragging/DetachToBrowserTabDragControllerTest.DragToSeparateWindow/0')
33 194 792 0.00295388055077 ('MouseLeaveTest.ModalDialog', 'TabDragging/DetachToBrowserTabDragControllerTest.DragToSeparateWindow/0')
1 40 36 0.0186052104181 ('ExtensionCrashRecoveryTest.TwoExtensionsCrashFirst', 'ExtensionCrashRecoveryTest.TwoExtensionsOneByOne')
3 87 596 -0.0368710116376 ('AppListTest.PressAppListButtonToShowAndDismiss', 'PasswordGenerationInteractiveTest.AutoSavingGeneratedPassword')
1 3 141 0.0450221774322 ('PlatformNotificationServiceBrowserTest.CloseDisplayedPersistentNotification', 'WebViewInteractiveTests/WebViewInteractiveTest.TextSelection/1')
2 40 39 0.0427719082714 ('BrowserFocusTest.FocusOnNavigate', 'MenuControllerMnemonicTestMnemonicMatch.MnemonicMatch')
2 40 194 0.00448812109199 ('BrowserFocusTest.FocusOnNavigate', 'MouseLeaveTest.ModalDialog')
4 9 12 0.383576138389 ('UserDataDowngradeBrowserCopyAndCleanTest.Test', 'UserDataDowngradeBrowserNoResetTest.Test')
