1 2 7 0.267135759888 ('FindInPageTest.ButtonsDisabledWithoutText', 'StickyKeysBrowserTest.CtrlClickHomeButton')
2 12 5 0.257924478712 ('AutofillInteractiveTest.NoAutofillForReadOnlyFields', 'PopupBlockerBrowserTest.OpenInNewBackgroundTab')
1 8 2 0.249864086175 ('StickyKeysBrowserTest.OverlayShown', 'TextInput_SurroundingTextChangedTest.SurroundingTextChangedWithInsertText')
1 4 4 0.249851734704 ('InstantExtendedTest.NoMostVisitedChangedOnTabSwitch', 'ManagePasswordsBubbleViewTest.CommandControlsBubble')
2 8 8 0.249703410776 ('AutofillPopupControllerBrowserTest.HidePopupOnWindowMove', 'DevToolsManagerDelegateTest.NormalWindowChangeBounds')
1 1 17 0.242439727983 ('InstantExtendedTest.TypedSearchURLDoesntReuseInstantTab', 'PasswordManagerBrowserTestBase.UsernameChanged')
2 23 3 0.240515785426 ('CommandsApiTest.Basic', 'PlatformNotificationServiceBrowserTest.TestShouldDisplayMultiFullscreen')
1 2 9 0.235556642852 ('PopupBlockerBrowserTest.TapGestureWithCtrlKey', 'WebViewInteractiveTests/WebViewNewWindowInteractiveTest.NewWindow_DiscardAfterOpenerDestroyed/1')
1 2 9 0.235556642852 ('BrowserActionButtonUiTest.OpenMenuOnDisabledActionWithMouseOrKeyboard', 'WebViewInteractiveTests/WebViewNewWindowInteractiveTest.NewWindow_DiscardAfterOpenerDestroyed/0')
1 2 9 0.235556642852 ('BookmarkBarViewTest2.HideOnDesktopClick', 'BookmarkBarViewTest21.ContextMenusForEmptyFolder')
2 9 8 0.235381846608 ('WebViewInteractiveTests/WebViewFocusInteractiveTest.Focus_FocusRestored/0', 'WebViewInteractiveTests/WebViewInteractiveTest.ExecuteCode/1')
5 21 22 0.231805242188 ('ManagePasswordsBubbleViewTest.CloseOnKey', 'PopupBlockerBrowserTest.ClosableAfterNavigation')
4 23 13 0.230676734095 ('CommandsApiTest.Basic', 'PopupBlockerBrowserTest.AllowPopupThroughContentSettingIFrame')
2 7 11 0.227588776059 ('AutofillInteractiveTest.OnChangeAfterAutofill', 'WebViewInteractiveTests/WebViewInteractiveTest.Navigation_BackForwardKeys/0')
1 1 20 0.223501803758 ('OmniboxViewTest.PopupAccelerators', 'PopupBlockerBrowserTest.UnblockedPopupShowsInHistoryAndOmnibox')
1 2 10 0.223452072225 ('NotificationsTest.TestDenyDomainAndAllowAll', 'NotificationsTest.TestDenyOnPermissionRequestUI')
1 2 10 0.223452072225 ('GuestSpokenFeedbackTest.FocusToolbar', 'PopupBlockerBrowserTest.AllowPopupThroughContentSetting')
1 10 2 0.223452072225 ('CrElementsProfileAvatarSelectorFocusTest.All', 'TextInput_SurroundingTextChangedTest.SurroundingTextChangedWithInsertText')
5 23 22 0.221411775868 ('CommandsApiTest.Basic', 'PopupBlockerBrowserTest.ClosableAfterNavigation')
1 7 3 0.218045327359 ('AutofillInteractiveTest.ComparePhoneNumbers', 'PermissionBubbleInteractiveUITest.CmdWClosesWindow/Cocoa')
3 9 21 0.217699951999 ('WebViewInteractiveTests/WebViewFocusInteractiveTest.Focus_FocusEvent/1', 'WebViewInteractiveTests/WebViewInteractiveTest.WordLookup/1')
1 11 2 0.21303738173 ('WebViewInteractiveTests/WebViewNewWindowInteractiveTest.NewWindow_ExecuteScript/1', 'WidgetTestInteractive.InactiveWidgetDoesNotGrabActivation')
1 11 2 0.21303738173 ('DevToolsManagerDelegateTest.RestoreMaximizedWindow', 'NotificationsApiTest.TestBasicUsage')
2 11 8 0.212837100028 ('PopupBlockerBrowserTest.CorrectReferrer', 'PopupBlockerBrowserTest.ModalPopUnder')
1 8 3 0.203937501704 ('NotificationsTest.TestNotificationReplacement', 'SSLClientCertificateSelectorMultiTabTest.Escape')
1 3 8 0.203937501704 ('PermissionBubbleInteractiveUITest.CmdWClosesWindow/Cocoa', 'PopupBlockerBrowserTest.OpenInNewForegroundTab')
2 11 9 0.200615048034 ('PermissionBubbleInteractiveUITest.SwitchTabs/Views', 'QuitWithAppsControllerInteractiveTestInstance/QuitWithAppsControllerInteractiveTest.QuitBehavior/1')
1 5 5 0.199802303168 ('NotificationsTest.TestCrashRendererNotificationRemain', 'WebViewInteractiveTests/WebViewFocusInteractiveTest.Focus_AdvanceFocus/0')
1 9 3 0.192250336412 ('CommandsApiTest.ShortcutAddedOnUpdateAfterBeingAssignedByUser', 'TestAsNormalAndGuestUser/SpokenFeedbackTest.ChromeVoxNextTabRecovery/0')
1 3 9 0.192250336412 ('BrowserFocusTest.ClickingMovesFocus', 'MenuControllerMnemonicTestNoMatch.NoMatch')
3 11 22 0.192235369886 ('CommandsApiTest.ContinuePropagation', 'PopupBlockerBrowserTest.ClosableAfterNavigation')
2 12 9 0.192036219097 ('CrSettingsSyncPageTest.All', 'SitePerProcessTextInputManagerTest.TrackPageFocusEditableElement')
1 2 14 0.188795411159 ('NotificationsTest.TestCancelNotification', 'SitePerProcessTextInputManagerTest.TrackSelectionBoundsForAllFrames')
1 2 14 0.188795411159 ('BrowserFocusTest.TabInitialFocus', 'NotificationsApiTest.TestEvents')
1 7 4 0.188772075139 ('PopupBlockerBrowserTest.ShiftClick', 'WebViewInteractiveTests/WebViewInteractiveTest.Navigation_BackForwardKeys/1')
1 7 4 0.188772075139 ('NotificationsTest.TestPermissionAPI', 'WebViewInteractiveTests/WebViewFocusInteractiveTest.Focus_FocusRestored/1')
1 7 4 0.188772075139 ('BrowserActionButtonUiTest.TestReopeningAppMenuWithOverflowNotNeeded', 'WebViewInteractiveTests/WebViewNewWindowInteractiveTest.NewWindow_Close/0')
1 7 4 0.188772075139 ('AutofillInteractiveTest.OnInputAfterAutofill', 'BrowserCommandControllerInteractiveTest.KeyEventsShouldBeConsumedByWebPageInJsFullscreenExceptForF11')
1 4 7 0.188772075139 ('ManagePasswordsBubbleViewTest.AutoSigninNoFocus', 'WebViewInteractiveTests/WebViewNewWindowInteractiveTest.NewWindow_AttachAfterOpenerDestroyed/1')
